"","age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","Class"
"1",49,"entrepreneur","married","primary","no",-63,"yes","no","unknown",14,"may",416,2,-1,0,"unknown",0
"2",28,"management","single","tertiary","no",637,"yes","no","cellular",4,"feb",324,1,-1,0,"unknown",0
"3",26,"management","single","tertiary","no",1837,"no","no","cellular",3,"feb",417,2,-1,0,"unknown",0
"4",39,"management","single","tertiary","no",30,"yes","no","cellular",13,"may",201,3,-1,0,"unknown",0
"5",49,"admin.","married","secondary","no",512,"yes","yes","unknown",14,"may",455,3,-1,0,"unknown",0
"6",27,"technician","married","secondary","no",876,"yes","no","cellular",18,"may",268,1,355,1,"failure",0
"7",45,"technician","married","secondary","no",4639,"no","no","unknown",6,"jun",82,2,-1,0,"unknown",0
"8",41,"technician","married","secondary","no",0,"no","no","cellular",11,"mar",101,1,-1,0,"unknown",0
"9",40,"admin.","single","secondary","no",-186,"yes","yes","cellular",11,"jul",154,2,-1,0,"unknown",0
"10",51,"blue-collar","married","primary","no",201,"yes","no","cellular",17,"jul",582,2,-1,0,"unknown",1
"11",40,"technician","married","secondary","no",372,"yes","no","cellular",21,"nov",365,1,100,2,"failure",0
"12",32,"blue-collar","single","tertiary","no",700,"no","no","unknown",13,"nov",90,1,-1,0,"unknown",1
"13",42,"technician","married","secondary","no",769,"no","no","unknown",5,"jun",90,1,-1,0,"unknown",0
"14",33,"admin.","single","secondary","no",894,"no","no","cellular",5,"feb",509,2,-1,0,"unknown",0
"15",36,"admin.","married","secondary","no",-206,"yes","no","cellular",2,"feb",122,1,-1,0,"unknown",0
"16",30,"management","single","secondary","no",308,"yes","yes","unknown",2,"jun",175,2,-1,0,"unknown",0
"17",28,"technician","single","secondary","no",441,"no","yes","cellular",9,"jul",171,2,-1,0,"unknown",0
"18",41,"blue-collar","married","secondary","no",2152,"yes","no","cellular",17,"nov",369,1,-1,0,"unknown",0
"19",58,"management","divorced","tertiary","no",-71,"no","no","unknown",27,"may",114,1,-1,0,"unknown",0
"20",46,"technician","married","secondary","no",0,"no","no","cellular",30,"jul",77,2,-1,0,"unknown",0
"21",42,"management","married","tertiary","no",11093,"no","no","cellular",2,"feb",156,2,-1,0,"unknown",0
