"Class","LOAN","MORTDUE","VALUE","REASON","JOB","YOJ","DEROG","DELINQ","CLAGE","NINQ","CLNO","DEBTINC"
1,14700,63000,89250,"DebtCon","ProfExe",4,0,0,87.466666667,0,28,NA
0,14900,48649,81342,"DebtCon","Mgr",3,0,0,110.05673141,0,8,28.802398701
0,13700,70018,89803,"HomeImp","Office",24,0,0,154.75212087,1,13,39.389908828
1,7200,43705,50000,"DebtCon","Other",9,0,2,235.36666667,6,16,NA
0,22400,98238,135561,"DebtCon","ProfExe",NA,0,0,194.28209915,0,20,29.37360717
0,16400,71264,94726,"DebtCon","Other",1,0,0,177.2573424,1,31,35.034481355
1,12300,73099,84250,"DebtCon","ProfExe",4,NA,NA,NA,NA,NA,40.222283144
1,10000,26197,46600,"HomeImp","ProfExe",9,0,0,165.96666667,2,9,NA
1,17900,96450,135822,"HomeImp","ProfExe",6,0,1,90.3,6,5,NA
1,30300,NA,52545,NA,NA,1,1,3,187.72218451,10,15,2.5943644469
0,30500,124225,181129,"DebtCon","Mgr",11,0,0,189.43917118,2,28,43.168391726
0,27600,60039,86166,"DebtCon","Office",0,0,0,100.94932169,0,23,33.820934036
0,18200,4447,21510,"DebtCon","Other",NA,0,0,67,2,19,NA
1,25000,105750,141000,"HomeImp","Office",15,1,2,305.36666667,2,14,NA
0,11700,40266,59097,"DebtCon","Other",NA,0,0,74.998098598,0,15,39.49702872
0,15500,46846,70082,"DebtCon","ProfExe",7,0,0,152.16806013,2,12,30.131497225
0,27300,NA,43277,"DebtCon","Other",9,0,NA,101.88661478,NA,14,20.808196179
0,28200,44363,72966,"DebtCon","Mgr",16,1,0,82.270594585,6,16,34.980525368
0,9200,92395,114494,"HomeImp","Office",24,0,0,130.3767882,1,11,39.112150358
0,23100,141937,179756,"HomeImp","Mgr",6,0,0,328.39849318,0,16,43.910045849
0,9400,103973,119817,"DebtCon","Other",18,0,2,182.6166394,2,16,37.337977192
0,12900,45215,66162,"DebtCon","Other",4,0,0,170.76451694,0,14,39.248014917
0,33000,54821,104724,"DebtCon","Office",1,0,0,164.30091872,1,24,34.391907469
0,16000,90900,152300,"HomeImp","ProfExe",5,0,0,102.5,0,17,NA
0,15000,42657,65000,"DebtCon","ProfExe",18,0,0,181.6,0,23,NA
0,11000,63314,69285,"DebtCon","ProfExe",15,0,0,244.01777452,3,32,36.542570221
0,45000,NA,76673,"HomeImp","Office",11,0,0,297.3,0,13,NA
0,12100,28193,34705,"DebtCon","Other",0,NA,NA,NA,NA,NA,37.618026904
1,22400,25585,54049,NA,"ProfExe",20,0,0,251.35800302,0,19,25.202706374
